标题,歌曲id,所属歌单
洋葱,176053,6845436264
复刻回忆,306930,6686195311
小小虫,28029120,6686195311
句号,1405283464,6686195311
任性,2660969381,6686195311
南瓜车,307015,6686195311
唯一,2083785152,6686195311
崇拜,254129,6686195311
月光,1480380025,6686195311
分手快乐,254309,6686195311
全世界谁倾听你,432509483,13014130643
你，好不好？,424264505,13014130643
晚安,1359356908,13014130643
唯一,1807799505,13014130643
我好想你 (苏打绿版),2652647276,13014130643
泪桥,5265278,13014130643
伤日快乐,399954126,13014130643
眼泪知道,5239552,13014130643
过期,230245,13014130643
且听风吟,139359,8789150200
风神125,360685,8789150200
生如夏花,139357,8789150200
十年水流东，十年水流西,28587843,8789150200
晚上好 春天小姐,143742,8789150200
模样,326723,8789150200
日久他乡是故乡,360711,8789150200
米店 (2008北京live),32807841,8789150200
北京的冬天,108098,8789150200
南国的孩子,326708,8789150200
只要你快乐,298669,12718935640
心中的日月,25641840,12718935640
Cappuccino,307677,12718935640
后退,109210,12718935640
不要想太多,85575,12718935640
四人游,82461,12718935640
你怎么连话都说不清楚,400161917,12718935640
爱你才在意,255053,12718935640
欧若拉,327157,8484246204
暧昧,299981,8484246204
隐形的翅膀,327115,8484246204
让我一次爱个够,177575,8484246204
亲爱的，那不是爱情,326990,8484246204
下一个天亮,233882,8484246204
香水百合,327119,8484246204
白天不懂夜的黑,280266,8484246204
北极雪,189995,8484246204
最亲爱的你,229137,8484246204
七夕,29379442,12767593642
七夕,28953350,12767593642
七夕节,2075547035,12767593642
迢迢,1473618113,12767593642
若问相思 ——《逆水寒》七夕外观推广曲,2618296537,12767593642
良辰夜,2075545193,12767593642
一眼万年,108254,12767593642
烟雨行舟,32922246,12767593642
惊鸿一面,28854182,12767593642
说客,1375920506,12767593642
背对背拥抱,27731362,2790812763
今天你要嫁给我,5254811,2790812763
心墙,27671269,2790812763
不得不爱,139764,2790812763
富士山下,65766,2790812763
淋雨一直走,25640392,2790812763
原谅,329336,2790812763
气球,306626,2790812763
最佳损友,65800,2790812763
Tell Me,139893,2790812763
爱爱爱,82453,6845404732
大城小爱,400075201,6845404732
桃花朵朵开,60008,6845404732
反转地球,139688,6845404732
认真的雪,169243,6845404732
今天你要嫁给我,150422,6845404732
曹操,108795,6845404732
太美丽,150415,6845404732
飞机场的10:30,150651,8806443202
伤痕,257090,8806443202
酒馆蓝调,177273,8806443202
听吧,332200,8806443202
"说,你爱我",210856,8806443202
公转自转,25643299,8806443202
你是我的Superman,255444,8806443202
最美,390981,8806443202
距离,256408,8806443202
红粉菲菲,300585,8806443202
忽然之间,5270626,8408326200
易碎之物,2006483972,8408326200
我的秘密,233947,8408326200
淡想（Memories）,1405598377,8408326200
不在,1493975574,8408326200
何必在一起,191187,8408326200
心动的旅行,1872131792,8408326200
夏日回音,1398284251,8408326200
许愿,87146,8408326200
孤独患者,64093,8497881200
那些你很冒险的梦,108138,8497881200
我最亲爱的,326784,8497881200
那些年,97357,8497881200
踮起脚尖爱,392522,8497881200
最重要的决定,229161,8497881200
Letting Go,208891,8497881200
如果有来生,293948,8497881200
如果爱忘了,285321,8497881200
爱情36计,209910,6845417475
快乐崇拜,139808,6845417475
江南,108914,6845417475
倒带,209936,6845417475
Forever Love,25641853,6845417475
遗失的美好,327235,6845417475
我们的爱,354593,6845417475
明明很爱你,141288,6845417475
时光机,386278,6845417475
你的微笑,354601,6845417475
情人,2082700997,7662511571
睡皇后,1335819187,7662511571
有心人,410518476,7662511571
两个你,1899047747,7662511571
平凡天使,1429363572,7662511571
很久以后,1412263970,7662511571
Victoria,520460023,7662511571
别勉强,1412264712,7662511571
Where Did U Go,234064,7662511571
岩石里的花,1331535573,7662511571
江湖卡夫卡,1981931982,8756906204
无用清净梦,1823002072,8756906204
光,1841222061,8756906204
伫夜之前,1990760477,8756906204
瓦尔登湖,1962374380,8756906204
树豆,1498047799,8756906204
你正梦着我的梦,1413661771,8756906204
四方,2083130470,8756906204
活鱼逆流而上，死鱼随波逐流,1882687941,8756906204
月亮拥抱我,1415626586,8756906204
十年一刻 (苏打绿版),2111024463,8580356200
电台情歌,277822,8580356200
相见不如怀念,280154,8580356200
莫呼洛迦,307859,8580356200
爱爱爱,5240523,8580356200
随风而去,157292,8580356200
舞娘,209718,8580356200
单车,65592,8580356200
左边,22740077,8580356200
何处是天涯,514055820,5172410111
如果我不是我,1412484524,5172410111
